sample,Season,Place,Date,gc/µL in sample,rerun,conc,Date_Location,index_plot,week,year,amplicon,read_count,segment
barcode01,2022/2023,CDA Lugano,2022_12_06 ,18.525 ,no,18.525,2022_12_06 -CDA Lugano,"",49,,amp1,155,M
barcode01,2022/2023,CDA Lugano,2022_12_06 ,18.525 ,no,18.525,2022_12_06 -CDA Lugano,"",49,,amp2,371,M
barcode01,2022/2023,CDA Lugano,2022_12_06 ,18.525 ,no,18.525,2022_12_06 -CDA Lugano,"",49,,amp3,6,M
barcode02,2022/2023,CDA Lugano,2022_12_24 ,44.325 ,no,44.325,2022_12_24 -CDA Lugano,"",51,,amp1,7,M
barcode02,2022/2023,CDA Lugano,2022_12_24 ,44.325 ,no,44.325,2022_12_24 -CDA Lugano,"",51,,amp2,23,M
barcode02,2022/2023,CDA Lugano,2022_12_24 ,44.325 ,no,44.325,2022_12_24 -CDA Lugano,"",51,,amp3,7,M
barcode03,2022/2023,CDA Lugano,2023_01_01 ,23.325 ,no,23.325,2023_01_01 -CDA Lugano,"",52,2023,amp1,6,M
barcode03,2022/2023,CDA Lugano,2023_01_01 ,23.325 ,no,23.325,2023_01_01 -CDA Lugano,"",52,2023,amp2,5,M
barcode03,2022/2023,CDA Lugano,2023_01_01 ,23.325 ,no,23.325,2023_01_01 -CDA Lugano,"",52,2023,amp3,0,M
barcode04,2022/2023,ARA Werdhoelzli,2022_12_05 ,26.475 ,no,26.475,2022_12_05 -ARA Werdhoelzli,"",49,,amp1,173,M
barcode04,2022/2023,ARA Werdhoelzli,2022_12_05 ,26.475 ,no,26.475,2022_12_05 -ARA Werdhoelzli,"",49,,amp2,282,M
barcode04,2022/2023,ARA Werdhoelzli,2022_12_05 ,26.475 ,no,26.475,2022_12_05 -ARA Werdhoelzli,"",49,,amp3,38,M
barcode05,2022/2023,ARA Werdhoelzli,2022_12_18 ,113.18 ,no,113.18,2022_12_18 -ARA Werdhoelzli,"",50,,amp1,600,M
barcode05,2022/2023,ARA Werdhoelzli,2022_12_18 ,113.18 ,no,113.18,2022_12_18 -ARA Werdhoelzli,"",50,,amp2,54299,M
barcode05,2022/2023,ARA Werdhoelzli,2022_12_18 ,113.18 ,no,113.18,2022_12_18 -ARA Werdhoelzli,"",50,,amp3,131,M
barcode06,2022/2023,ARA Werdhoelzli,2022_12_31 ,22.725 ,no,22.725,2022_12_31 -ARA Werdhoelzli,"",52,,amp1,1716,M
barcode06,2022/2023,ARA Werdhoelzli,2022_12_31 ,22.725 ,no,22.725,2022_12_31 -ARA Werdhoelzli,"",52,,amp2,15342,M
barcode06,2022/2023,ARA Werdhoelzli,2022_12_31 ,22.725 ,no,22.725,2022_12_31 -ARA Werdhoelzli,"",52,,amp3,2004,M
barcode07,2022/2023,STEP Aire,2022_12_08,20 ,no,20,2022_12_08-STEP Aire,"",49,,amp1,222,M
barcode07,2022/2023,STEP Aire,2022_12_08,20 ,no,20,2022_12_08-STEP Aire,"",49,,amp2,830,M
barcode07,2022/2023,STEP Aire,2022_12_08,20 ,no,20,2022_12_08-STEP Aire,"",49,,amp3,65,M
barcode08,2022/2023,STEP Aire,2022_12_18,50 ,no,50,2022_12_18-STEP Aire,"",50,,amp1,525,M
barcode08,2022/2023,STEP Aire,2022_12_18,50 ,no,50,2022_12_18-STEP Aire,"",50,,amp2,1639,M
barcode08,2022/2023,STEP Aire,2022_12_18,50 ,no,50,2022_12_18-STEP Aire,"",50,,amp3,220,M
barcode09,2022/2023,STEP Aire,2023_01_01,18.5 ,no,18.5,2023_01_01-STEP Aire,"",52,2023,amp1,20,M
barcode09,2022/2023,STEP Aire,2023_01_01,18.5 ,no,18.5,2023_01_01-STEP Aire,"",52,2023,amp2,192,M
barcode09,2022/2023,STEP Aire,2023_01_01,18.5 ,no,18.5,2023_01_01-STEP Aire,"",52,2023,amp3,15,M
