sample,Season,Place,Date,gc/µL in sample,rerun,conc,Date_Location,index_plot,week,year,amplicon,read_count,segment
barcode12,2022/2023,ARA Chur,2023_01_01 ,51 ,no,51,2023_01_01 -ARA Chur,"",52,2023,amp1,0,N2
barcode12,2022/2023,ARA Chur,2023_01_01 ,51 ,no,51,2023_01_01 -ARA Chur,"",52,2023,amp2,0,N2
barcode12,2022/2023,ARA Chur,2023_01_01 ,51 ,no,51,2023_01_01 -ARA Chur,"",52,2023,amp3,2,N2
barcode12,2022/2023,ARA Chur,2023_01_01 ,51 ,no,51,2023_01_01 -ARA Chur,"",52,2023,amp4,0,N2
barcode13,2023/2024,CDA Lugano,2023_12_14 ,18.875 ,no,18.875,2023_12_14 -CDA Lugano,"",50,2023,amp1,0,N2
barcode13,2023/2024,CDA Lugano,2023_12_14 ,18.875 ,no,18.875,2023_12_14 -CDA Lugano,"",50,2023,amp2,0,N2
barcode13,2023/2024,CDA Lugano,2023_12_14 ,18.875 ,no,18.875,2023_12_14 -CDA Lugano,"",50,2023,amp3,3,N2
barcode13,2023/2024,CDA Lugano,2023_12_14 ,18.875 ,no,18.875,2023_12_14 -CDA Lugano,"",50,2023,amp4,0,N2
barcode14,2023/2024,CDA Lugano,2023_12_25 ,107.25 ,no,107.25,2023_12_25 -CDA Lugano,"",52,2023,amp1,0,N2
barcode14,2023/2024,CDA Lugano,2023_12_25 ,107.25 ,no,107.25,2023_12_25 -CDA Lugano,"",52,2023,amp2,0,N2
barcode14,2023/2024,CDA Lugano,2023_12_25 ,107.25 ,no,107.25,2023_12_25 -CDA Lugano,"",52,2023,amp3,1,N2
barcode14,2023/2024,CDA Lugano,2023_12_25 ,107.25 ,no,107.25,2023_12_25 -CDA Lugano,"",52,2023,amp4,0,N2
barcode15,2023/2024,CDA Lugano,2024_02_19 ,18.25 ,no,18.25,2024_02_19 -CDA Lugano,"",08,2024,amp1,0,N2
barcode15,2023/2024,CDA Lugano,2024_02_19 ,18.25 ,no,18.25,2024_02_19 -CDA Lugano,"",08,2024,amp2,0,N2
barcode15,2023/2024,CDA Lugano,2024_02_19 ,18.25 ,no,18.25,2024_02_19 -CDA Lugano,"",08,2024,amp3,7,N2
barcode15,2023/2024,CDA Lugano,2024_02_19 ,18.25 ,no,18.25,2024_02_19 -CDA Lugano,"",08,2024,amp4,0,N2
barcode16,2023/2024,ARA Werdhoelzli,2023_12_31 ,15.375 ,no,15.375,2023_12_31 -ARA Werdhoelzli,"",52,2023,amp1,0,N2
barcode16,2023/2024,ARA Werdhoelzli,2023_12_31 ,15.375 ,no,15.375,2023_12_31 -ARA Werdhoelzli,"",52,2023,amp2,1,N2
barcode16,2023/2024,ARA Werdhoelzli,2023_12_31 ,15.375 ,no,15.375,2023_12_31 -ARA Werdhoelzli,"",52,2023,amp3,4,N2
barcode16,2023/2024,ARA Werdhoelzli,2023_12_31 ,15.375 ,no,15.375,2023_12_31 -ARA Werdhoelzli,"",52,2023,amp4,0,N2
barcode17,2023/2024,ARA Werdhoelzli,2024_01_14 ,75.15 ,no,75.15,2024_01_14 -ARA Werdhoelzli,"",02,2024,amp1,0,N2
barcode17,2023/2024,ARA Werdhoelzli,2024_01_14 ,75.15 ,no,75.15,2024_01_14 -ARA Werdhoelzli,"",02,2024,amp2,0,N2
barcode17,2023/2024,ARA Werdhoelzli,2024_01_14 ,75.15 ,no,75.15,2024_01_14 -ARA Werdhoelzli,"",02,2024,amp3,3,N2
barcode17,2023/2024,ARA Werdhoelzli,2024_01_14 ,75.15 ,no,75.15,2024_01_14 -ARA Werdhoelzli,"",02,2024,amp4,0,N2
barcode18,2023/2024,ARA Werdhoelzli,2024_02_21 ,16.875 ,no,16.875,2024_02_21 -ARA Werdhoelzli,"",08,2024,amp1,6,N2
barcode18,2023/2024,ARA Werdhoelzli,2024_02_21 ,16.875 ,no,16.875,2024_02_21 -ARA Werdhoelzli,"",08,2024,amp2,20,N2
barcode18,2023/2024,ARA Werdhoelzli,2024_02_21 ,16.875 ,no,16.875,2024_02_21 -ARA Werdhoelzli,"",08,2024,amp3,28,N2
barcode18,2023/2024,ARA Werdhoelzli,2024_02_21 ,16.875 ,no,16.875,2024_02_21 -ARA Werdhoelzli,"",08,2024,amp4,1,N2
barcode19,2023/2024,STEP Aire,2023_12_23 ,20.75 ,no,20.75,2023_12_23 -STEP Aire,"",51,2023,amp1,0,N2
barcode19,2023/2024,STEP Aire,2023_12_23 ,20.75 ,no,20.75,2023_12_23 -STEP Aire,"",51,2023,amp2,0,N2
barcode19,2023/2024,STEP Aire,2023_12_23 ,20.75 ,no,20.75,2023_12_23 -STEP Aire,"",51,2023,amp3,1,N2
barcode19,2023/2024,STEP Aire,2023_12_23 ,20.75 ,no,20.75,2023_12_23 -STEP Aire,"",51,2023,amp4,0,N2
barcode20,2023/2024,STEP Aire,2024_01_02 ,29.25 ,no,29.25,2024_01_02 -STEP Aire,"",01,2024,amp1,19,N2
barcode20,2023/2024,STEP Aire,2024_01_02 ,29.25 ,no,29.25,2024_01_02 -STEP Aire,"",01,2024,amp2,98,N2
barcode20,2023/2024,STEP Aire,2024_01_02 ,29.25 ,no,29.25,2024_01_02 -STEP Aire,"",01,2024,amp3,37,N2
barcode20,2023/2024,STEP Aire,2024_01_02 ,29.25 ,no,29.25,2024_01_02 -STEP Aire,"",01,2024,amp4,379,N2
barcode21,2023/2024,STEP Aire,2024_02_12 ,18.375 ,no,18.375,2024_02_12 -STEP Aire,"",07,2024,amp1,0,N2
barcode21,2023/2024,STEP Aire,2024_02_12 ,18.375 ,no,18.375,2024_02_12 -STEP Aire,"",07,2024,amp2,0,N2
barcode21,2023/2024,STEP Aire,2024_02_12 ,18.375 ,no,18.375,2024_02_12 -STEP Aire,"",07,2024,amp3,0,N2
barcode21,2023/2024,STEP Aire,2024_02_12 ,18.375 ,no,18.375,2024_02_12 -STEP Aire,"",07,2024,amp4,0,N2
barcode22,2023/2024,ARA Chur,2023_12_24 ,19.875 ,no,19.875,2023_12_24 -ARA Chur,"",51,2023,amp1,0,N2
barcode22,2023/2024,ARA Chur,2023_12_24 ,19.875 ,no,19.875,2023_12_24 -ARA Chur,"",51,2023,amp2,0,N2
barcode22,2023/2024,ARA Chur,2023_12_24 ,19.875 ,no,19.875,2023_12_24 -ARA Chur,"",51,2023,amp3,5,N2
barcode22,2023/2024,ARA Chur,2023_12_24 ,19.875 ,no,19.875,2023_12_24 -ARA Chur,"",51,2023,amp4,0,N2
barcode23,2023/2024,ARA Chur,2024_01_21 ,124.13 ,no,124.13,2024_01_21 -ARA Chur,"",03,2024,amp1,0,N2
barcode23,2023/2024,ARA Chur,2024_01_21 ,124.13 ,no,124.13,2024_01_21 -ARA Chur,"",03,2024,amp2,0,N2
barcode23,2023/2024,ARA Chur,2024_01_21 ,124.13 ,no,124.13,2024_01_21 -ARA Chur,"",03,2024,amp3,1,N2
barcode23,2023/2024,ARA Chur,2024_01_21 ,124.13 ,no,124.13,2024_01_21 -ARA Chur,"",03,2024,amp4,1,N2
barcode24,2023/2024,ARA Chur,2024_03_09 ,28.925 ,no,28.925,2024_03_09 -ARA Chur,"",10,2024,amp1,0,N2
barcode24,2023/2024,ARA Chur,2024_03_09 ,28.925 ,no,28.925,2024_03_09 -ARA Chur,"",10,2024,amp2,0,N2
barcode24,2023/2024,ARA Chur,2024_03_09 ,28.925 ,no,28.925,2024_03_09 -ARA Chur,"",10,2024,amp3,0,N2
barcode24,2023/2024,ARA Chur,2024_03_09 ,28.925 ,no,28.925,2024_03_09 -ARA Chur,"",10,2024,amp4,0,N2
barcode25,2022/2023,CDA Lugano,2022_12_08,14.475,yes,14.475,2022_12_08-CDA Lugano,"",49,,amp1,0,N2
barcode25,2022/2023,CDA Lugano,2022_12_08,14.475,yes,14.475,2022_12_08-CDA Lugano,"",49,,amp2,0,N2
barcode25,2022/2023,CDA Lugano,2022_12_08,14.475,yes,14.475,2022_12_08-CDA Lugano,"",49,,amp3,0,N2
barcode25,2022/2023,CDA Lugano,2022_12_08,14.475,yes,14.475,2022_12_08-CDA Lugano,"",49,,amp4,1,N2
barcode26,2022/2023,CDA Lugano,2022_12_25 ,38.625,yes,38.625,2022_12_25 -CDA Lugano,"",51,,amp1,0,N2
barcode26,2022/2023,CDA Lugano,2022_12_25 ,38.625,yes,38.625,2022_12_25 -CDA Lugano,"",51,,amp2,0,N2
barcode26,2022/2023,CDA Lugano,2022_12_25 ,38.625,yes,38.625,2022_12_25 -CDA Lugano,"",51,,amp3,0,N2
barcode26,2022/2023,CDA Lugano,2022_12_25 ,38.625,yes,38.625,2022_12_25 -CDA Lugano,"",51,,amp4,0,N2
barcode27,2022/2023,CDA Lugano,2022_12_31,14.7,yes,14.7,2022_12_31-CDA Lugano,"",52,,amp1,0,N2
barcode27,2022/2023,CDA Lugano,2022_12_31,14.7,yes,14.7,2022_12_31-CDA Lugano,"",52,,amp2,0,N2
barcode27,2022/2023,CDA Lugano,2022_12_31,14.7,yes,14.7,2022_12_31-CDA Lugano,"",52,,amp3,0,N2
barcode27,2022/2023,CDA Lugano,2022_12_31,14.7,yes,14.7,2022_12_31-CDA Lugano,"",52,,amp4,0,N2
barcode28,2022/2023,ARA Werdhoelzli,2022_12_06,46.5,yes,46.5,2022_12_06-ARA Werdhoelzli,"",49,,amp1,9,N2
barcode28,2022/2023,ARA Werdhoelzli,2022_12_06,46.5,yes,46.5,2022_12_06-ARA Werdhoelzli,"",49,,amp2,5,N2
barcode28,2022/2023,ARA Werdhoelzli,2022_12_06,46.5,yes,46.5,2022_12_06-ARA Werdhoelzli,"",49,,amp3,2,N2
barcode28,2022/2023,ARA Werdhoelzli,2022_12_06,46.5,yes,46.5,2022_12_06-ARA Werdhoelzli,"",49,,amp4,24,N2
barcode29,2022/2023,STEP Aire,2022_12_06,14.75,yes,14.75,2022_12_06-STEP Aire,"",49,,amp1,0,N2
