sample,Season,Place,Date,gc/µL in sample,rerun,conc,Date_Location,index_plot,week,year,amplicon,read_count,segment
barcode08,2022/2023,STEP Aire,2022_12_18,50 ,no,50,2022_12_18-STEP Aire,"",50,,amp2,46,H1
barcode08,2022/2023,STEP Aire,2022_12_18,50 ,no,50,2022_12_18-STEP Aire,"",50,,amp3,63,H1
barcode08,2022/2023,STEP Aire,2022_12_18,50 ,no,50,2022_12_18-STEP Aire,"",50,,amp4,48,H1
barcode08,2022/2023,STEP Aire,2022_12_18,50 ,no,50,2022_12_18-STEP Aire,"",50,,amp5,7,H1
barcode08,2022/2023,STEP Aire,2022_12_18,50 ,no,50,2022_12_18-STEP Aire,"",50,,amp6,0,H1
barcode09,2022/2023,STEP Aire,2023_01_01,18.5 ,no,18.5,2023_01_01-STEP Aire,"",52,2023,amp1,3,H1
barcode09,2022/2023,STEP Aire,2023_01_01,18.5 ,no,18.5,2023_01_01-STEP Aire,"",52,2023,amp2,9,H1
barcode09,2022/2023,STEP Aire,2023_01_01,18.5 ,no,18.5,2023_01_01-STEP Aire,"",52,2023,amp3,14,H1
barcode09,2022/2023,STEP Aire,2023_01_01,18.5 ,no,18.5,2023_01_01-STEP Aire,"",52,2023,amp4,14,H1
barcode09,2022/2023,STEP Aire,2023_01_01,18.5 ,no,18.5,2023_01_01-STEP Aire,"",52,2023,amp5,3,H1
barcode09,2022/2023,STEP Aire,2023_01_01,18.5 ,no,18.5,2023_01_01-STEP Aire,"",52,2023,amp6,0,H1
barcode10,2022/2023,ARA Chur,2022_12_10 ,18.125 ,no,18.125,2022_12_10 -ARA Chur,"",49,,amp1,0,H1
barcode10,2022/2023,ARA Chur,2022_12_10 ,18.125 ,no,18.125,2022_12_10 -ARA Chur,"",49,,amp2,9,H1
barcode10,2022/2023,ARA Chur,2022_12_10 ,18.125 ,no,18.125,2022_12_10 -ARA Chur,"",49,,amp3,12,H1
barcode10,2022/2023,ARA Chur,2022_12_10 ,18.125 ,no,18.125,2022_12_10 -ARA Chur,"",49,,amp4,12,H1
barcode10,2022/2023,ARA Chur,2022_12_10 ,18.125 ,no,18.125,2022_12_10 -ARA Chur,"",49,,amp5,1,H1
barcode10,2022/2023,ARA Chur,2022_12_10 ,18.125 ,no,18.125,2022_12_10 -ARA Chur,"",49,,amp6,0,H1
barcode11,2022/2023,ARA Chur,2022_12_25 ,101.5 ,no,101.5,2022_12_25 -ARA Chur,"",51,,amp1,144,H1
barcode11,2022/2023,ARA Chur,2022_12_25 ,101.5 ,no,101.5,2022_12_25 -ARA Chur,"",51,,amp2,1308,H1
barcode11,2022/2023,ARA Chur,2022_12_25 ,101.5 ,no,101.5,2022_12_25 -ARA Chur,"",51,,amp3,2816,H1
barcode11,2022/2023,ARA Chur,2022_12_25 ,101.5 ,no,101.5,2022_12_25 -ARA Chur,"",51,,amp4,2341,H1
barcode11,2022/2023,ARA Chur,2022_12_25 ,101.5 ,no,101.5,2022_12_25 -ARA Chur,"",51,,amp5,272,H1
barcode11,2022/2023,ARA Chur,2022_12_25 ,101.5 ,no,101.5,2022_12_25 -ARA Chur,"",51,,amp6,1,H1
barcode12,2022/2023,ARA Chur,2023_01_01 ,51 ,no,51,2023_01_01 -ARA Chur,"",52,2023,amp1,1,H1
barcode12,2022/2023,ARA Chur,2023_01_01 ,51 ,no,51,2023_01_01 -ARA Chur,"",52,2023,amp2,5,H1
barcode12,2022/2023,ARA Chur,2023_01_01 ,51 ,no,51,2023_01_01 -ARA Chur,"",52,2023,amp3,16,H1
barcode12,2022/2023,ARA Chur,2023_01_01 ,51 ,no,51,2023_01_01 -ARA Chur,"",52,2023,amp4,12,H1
barcode12,2022/2023,ARA Chur,2023_01_01 ,51 ,no,51,2023_01_01 -ARA Chur,"",52,2023,amp5,0,H1
barcode12,2022/2023,ARA Chur,2023_01_01 ,51 ,no,51,2023_01_01 -ARA Chur,"",52,2023,amp6,0,H1
barcode13,2023/2024,CDA Lugano,2023_12_14 ,18.875 ,no,18.875,2023_12_14 -CDA Lugano,"",50,2023,amp1,0,H1
barcode13,2023/2024,CDA Lugano,2023_12_14 ,18.875 ,no,18.875,2023_12_14 -CDA Lugano,"",50,2023,amp2,9,H1
barcode13,2023/2024,CDA Lugano,2023_12_14 ,18.875 ,no,18.875,2023_12_14 -CDA Lugano,"",50,2023,amp3,12,H1
barcode13,2023/2024,CDA Lugano,2023_12_14 ,18.875 ,no,18.875,2023_12_14 -CDA Lugano,"",50,2023,amp4,12,H1
barcode13,2023/2024,CDA Lugano,2023_12_14 ,18.875 ,no,18.875,2023_12_14 -CDA Lugano,"",50,2023,amp5,4,H1
barcode13,2023/2024,CDA Lugano,2023_12_14 ,18.875 ,no,18.875,2023_12_14 -CDA Lugano,"",50,2023,amp6,0,H1
barcode14,2023/2024,CDA Lugano,2023_12_25 ,107.25 ,no,107.25,2023_12_25 -CDA Lugano,"",52,2023,amp1,0,H1
barcode14,2023/2024,CDA Lugano,2023_12_25 ,107.25 ,no,107.25,2023_12_25 -CDA Lugano,"",52,2023,amp2,10,H1
barcode14,2023/2024,CDA Lugano,2023_12_25 ,107.25 ,no,107.25,2023_12_25 -CDA Lugano,"",52,2023,amp3,602,H1
barcode14,2023/2024,CDA Lugano,2023_12_25 ,107.25 ,no,107.25,2023_12_25 -CDA Lugano,"",52,2023,amp4,23,H1
barcode14,2023/2024,CDA Lugano,2023_12_25 ,107.25 ,no,107.25,2023_12_25 -CDA Lugano,"",52,2023,amp5,6,H1
barcode14,2023/2024,CDA Lugano,2023_12_25 ,107.25 ,no,107.25,2023_12_25 -CDA Lugano,"",52,2023,amp6,0,H1
barcode15,2023/2024,CDA Lugano,2024_02_19 ,18.25 ,no,18.25,2024_02_19 -CDA Lugano,"",08,2024,amp1,2,H1
barcode15,2023/2024,CDA Lugano,2024_02_19 ,18.25 ,no,18.25,2024_02_19 -CDA Lugano,"",08,2024,amp2,850,H1
barcode15,2023/2024,CDA Lugano,2024_02_19 ,18.25 ,no,18.25,2024_02_19 -CDA Lugano,"",08,2024,amp3,2738,H1
barcode15,2023/2024,CDA Lugano,2024_02_19 ,18.25 ,no,18.25,2024_02_19 -CDA Lugano,"",08,2024,amp4,2448,H1
barcode15,2023/2024,CDA Lugano,2024_02_19 ,18.25 ,no,18.25,2024_02_19 -CDA Lugano,"",08,2024,amp5,268,H1
barcode15,2023/2024,CDA Lugano,2024_02_19 ,18.25 ,no,18.25,2024_02_19 -CDA Lugano,"",08,2024,amp6,0,H1
barcode16,2023/2024,ARA Werdhoelzli,2023_12_31 ,15.375 ,no,15.375,2023_12_31 -ARA Werdhoelzli,"",52,2023,amp1,6,H1
barcode16,2023/2024,ARA Werdhoelzli,2023_12_31 ,15.375 ,no,15.375,2023_12_31 -ARA Werdhoelzli,"",52,2023,amp2,910,H1
barcode16,2023/2024,ARA Werdhoelzli,2023_12_31 ,15.375 ,no,15.375,2023_12_31 -ARA Werdhoelzli,"",52,2023,amp3,1782,H1
barcode16,2023/2024,ARA Werdhoelzli,2023_12_31 ,15.375 ,no,15.375,2023_12_31 -ARA Werdhoelzli,"",52,2023,amp4,1275,H1
barcode16,2023/2024,ARA Werdhoelzli,2023_12_31 ,15.375 ,no,15.375,2023_12_31 -ARA Werdhoelzli,"",52,2023,amp5,288,H1
barcode16,2023/2024,ARA Werdhoelzli,2023_12_31 ,15.375 ,no,15.375,2023_12_31 -ARA Werdhoelzli,"",52,2023,amp6,0,H1
barcode17,2023/2024,ARA Werdhoelzli,2024_01_14 ,75.15 ,no,75.15,2024_01_14 -ARA Werdhoelzli,"",02,2024,amp1,5,H1
barcode17,2023/2024,ARA Werdhoelzli,2024_01_14 ,75.15 ,no,75.15,2024_01_14 -ARA Werdhoelzli,"",02,2024,amp2,80,H1
barcode17,2023/2024,ARA Werdhoelzli,2024_01_14 ,75.15 ,no,75.15,2024_01_14 -ARA Werdhoelzli,"",02,2024,amp3,239,H1
barcode17,2023/2024,ARA Werdhoelzli,2024_01_14 ,75.15 ,no,75.15,2024_01_14 -ARA Werdhoelzli,"",02,2024,amp4,212,H1
