Segment_Subtype,Season,val.Baselime_amp,val.amp,val.V,val.p_value,val.p_bonferroni,val.significance
H1,2022/2023,amp1,amp2,2,1.2975033435375742e-4,0.0038925100306127225,**
H1,2022/2023,amp1,amp3,3,9.871089645296876e-5,0.002961326893589063,**
H1,2022/2023,amp1,amp4,16.5,0.0016903798379888685,0.050711395139666056,
H1,2022/2023,amp1,amp5,29,0.04562778898313944,1,
H1,2022/2023,amp1,amp6,103,0.0015910373814721028,0.04773112144416308,*
H1,2022/2023,amp2,amp1,208,1.2975033435375742e-4,0.0038925100306127225,**
H1,2022/2023,amp2,amp3,13,0.0017040356396176893,0.05112106918853068,
H1,2022/2023,amp2,amp4,98.5,0.9038495070904878,1,
H1,2022/2023,amp2,amp5,190,1.4279790952741086e-4,0.004283937285822326,**
H1,2022/2023,amp2,amp6,190,1.419118292960278e-4,0.004257354878880834,**
H1,2022/2023,amp3,amp1,228,9.871089645296876e-5,0.002961326893589063,**
H1,2022/2023,amp3,amp2,158,0.0017040356396176893,0.05112106918853068,
H1,2022/2023,amp3,amp4,171,2.1224616465708373e-4,0.006367384939712512,**
H1,2022/2023,amp3,amp5,210,9.542330812821135e-5,0.0028626992438463405,**
H1,2022/2023,amp3,amp6,210,9.555744839077448e-5,0.0028667234517232346,**
H1,2022/2023,amp4,amp1,173.5,0.0016903798379888685,0.050711395139666056,
H1,2022/2023,amp4,amp2,91.5,0.9038495070904878,1,
H1,2022/2023,amp4,amp3,0,2.1224616465708373e-4,0.006367384939712512,**
H1,2022/2023,amp4,amp5,150,5.44970724081069e-4,0.01634912172243207,*
H1,2022/2023,amp4,amp6,153,3.198065653336669e-4,0.009594196960010007,**
H1,2022/2023,amp5,amp1,107,0.04562778898313944,1,
H1,2022/2023,amp5,amp2,0,1.4279790952741086e-4,0.004283937285822326,**
H1,2022/2023,amp5,amp3,0,9.542330812821135e-5,0.0028626992438463405,**
H1,2022/2023,amp5,amp4,3,5.44970724081069e-4,0.01634912172243207,*
H1,2022/2023,amp5,amp6,120,7.104312309559272e-4,0.021312936928677816,*
H1,2022/2023,amp6,amp1,2,0.0015910373814721028,0.04773112144416308,*
H1,2022/2023,amp6,amp2,0,1.419118292960278e-4,0.004257354878880834,**
H1,2022/2023,amp6,amp3,0,9.555744839077448e-5,0.0028667234517232346,**
H1,2022/2023,amp6,amp4,0,3.198065653336669e-4,0.009594196960010007,**
H1,2022/2023,amp6,amp5,0,7.104312309559272e-4,0.021312936928677816,*
H1,2023/2024,amp1,amp2,0,7.629394531250002e-6,2.2888183593750005e-4,***
H1,2023/2024,amp1,amp3,0,2.1372191522501475e-4,0.0064116574567504424,**
H1,2023/2024,amp1,amp4,1,5.846589627128943e-4,0.01753976888138683,*
H1,2023/2024,amp1,amp5,13,0.002853107559488122,0.08559322678464366,
H1,2023/2024,amp1,amp6,78,0.002516496563841506,0.07549489691524518,
H1,2023/2024,amp2,amp1,171,7.629394531250002e-6,2.2888183593750005e-4,***
H1,2023/2024,amp2,amp3,9,0.004128050101717345,0.12384150305152035,
H1,2023/2024,amp2,amp4,61.5,0.7563294291891599,1,
H1,2023/2024,amp2,amp5,168.5,3.26478284812867e-4,0.00979434854438601,**
H1,2023/2024,amp2,amp6,171,7.629394531250002e-6,2.2888183593750005e-4,***
H1,2023/2024,amp3,amp1,171,2.1372191522501475e-4,0.0064116574567504424,**
H1,2023/2024,amp3,amp2,111,0.004128050101717345,0.12384150305152035,
H1,2023/2024,amp3,amp4,153,3.2104840068844444e-4,0.009631452020653334,**
H1,2023/2024,amp3,amp5,170,1.5258789062500003e-5,4.577636718750001e-4,***
H1,2023/2024,amp3,amp6,171,2.1372191522501475e-4,0.0064116574567504424,**
H1,2023/2024,amp4,amp1,135,5.846589627128943e-4,0.01753976888138683,*
H1,2023/2024,amp4,amp2,74.5,0.7563294291891599,1,
H1,2023/2024,amp4,amp3,0,3.2104840068844444e-4,0.009631452020653334,**
H1,2023/2024,amp4,amp5,117.5,0.011271943806411059,0.3381583141923318,
H1,2023/2024,amp4,amp6,136,4.824029369617043e-4,0.014472088108851129,*
H1,2023/2024,amp5,amp1,140,0.002853107559488122,0.08559322678464366,
H1,2023/2024,amp5,amp2,2.5,3.26478284812867e-4,0.00979434854438601,**
H1,2023/2024,amp5,amp3,1,1.5258789062500003e-5,4.577636718750001e-4,***
H1,2023/2024,amp5,amp4,18.5,0.011271943806411059,0.3381583141923318,
H1,2023/2024,amp5,amp6,153,3.179502953439222e-4,0.009538508860317665,**
H1,2023/2024,amp6,amp1,0,0.002516496563841506,0.07549489691524518,
H1,2023/2024,amp6,amp2,0,7.629394531250002e-6,2.2888183593750005e-4,***
H1,2023/2024,amp6,amp3,0,2.1372191522501475e-4,0.0064116574567504424,**
H1,2023/2024,amp6,amp4,0,4.824029369617043e-4,0.014472088108851129,*
H1,2023/2024,amp6,amp5,0,3.179502953439222e-4,0.009538508860317665,**
H3,2022/2023,amp1,amp2,193,0.001087347004647457,0.032620410139423704,*
H3,2022/2023,amp1,amp3,210,9.555744839077448e-5,0.0028667234517232346,**
H3,2022/2023,amp1,amp4,210,9.555744839077448e-5,0.0028667234517232346,**
H3,2022/2023,amp1,amp5,195,8.33075011209829e-4,0.02499225033629487,*
H3,2022/2023,amp1,amp6,195,8.33075011209829e-4,0.02499225033629487,*
H3,2022/2023,amp2,amp1,17,0.001087347004647457,0.032620410139423704,*
H3,2022/2023,amp2,amp3,27,0.2339528334705896,1,
H3,2022/2023,amp2,amp4,36,0.014147403886021537,0.4244221165806461,
H3,2022/2023,amp2,amp5,46,0.2645674071084542,1,
H3,2022/2023,amp2,amp6,43.5,0.2129889171237322,1,
H3,2022/2023,amp3,amp1,0,9.555744839077448e-5,0.0028667234517232346,**
H3,2022/2023,amp3,amp2,9,0.2339528334705896,1,
H3,2022/2023,amp3,amp4,10,0.10034824646229079,1,
H3,2022/2023,amp3,amp5,3.5,8.70170748025941e-4,0.026105122440778228,*
H3,2022/2023,amp3,amp6,11.5,0.0036333538638050463,0.10900061591415139,
H3,2022/2023,amp4,amp1,0,9.555744839077448e-5,0.0028667234517232346,**
H3,2022/2023,amp4,amp2,0,0.014147403886021537,0.4244221165806461,
H3,2022/2023,amp4,amp3,0,0.10034824646229079,1,
H3,2022/2023,amp4,amp5,3,8.153061454016056e-4,0.024459184362048168,*
H3,2022/2023,amp4,amp6,2,6.837416272279552e-4,0.020512248816838656,*
H3,2022/2023,amp5,amp1,15,8.33075011209829e-4,0.02499225033629487,*
H3,2022/2023,amp5,amp2,90,0.2645674071084542,1,
H3,2022/2023,amp5,amp3,132.5,8.70170748025941e-4,0.026105122440778228,*
H3,2022/2023,amp5,amp4,133,8.153061454016056e-4,0.024459184362048168,*
H3,2022/2023,amp5,amp6,29,0.7532861518018312,1,
H3,2022/2023,amp6,amp1,15,8.33075011209829e-4,0.02499225033629487,*
H3,2022/2023,amp6,amp2,92.5,0.2129889171237322,1,
H3,2022/2023,amp6,amp3,124.5,0.0036333538638050463,0.10900061591415139,
H3,2022/2023,amp6,amp4,134,6.837416272279552e-4,0.020512248816838656,*
H3,2022/2023,amp6,amp5,37,0.7532861518018312,1,
H3,2023/2024,amp1,amp2,171,2.1372191522501475e-4,0.0064116574567504424,**
H3,2023/2024,amp1,amp3,171,7.629394531250002e-6,2.2888183593750005e-4,***
H3,2023/2024,amp1,amp4,171,7.629394531250002e-6,2.2888183593750005e-4,***
H3,2023/2024,amp1,amp5,171,2.104120075915848e-4,0.006312360227747544,**
H3,2023/2024,amp1,amp6,171,2.1372191522501475e-4,0.0064116574567504424,**
H3,2023/2024,amp2,amp1,0,2.1372191522501475e-4,0.0064116574567504424,**
H3,2023/2024,amp2,amp3,57,0.029115420995441624,0.8734626298632487,
H3,2023/2024,amp2,amp4,15,0.39853990753437313,1,
H3,2023/2024,amp2,amp5,4,0.006674355430721252,0.20023066292163755,
H3,2023/2024,amp2,amp6,7.5,0.008549635705769562,0.2564890711730869,
H3,2023/2024,amp3,amp1,0,7.629394531250002e-6,2.2888183593750005e-4,***
H3,2023/2024,amp3,amp2,9,0.029115420995441624,0.8734626298632487,
H3,2023/2024,amp3,amp4,1.5,0.07393743585215212,1,
H3,2023/2024,amp3,amp5,2.5,0.0028723360456838275,0.08617008137051482,
H3,2023/2024,amp3,amp6,1.5,0.005822758233189514,0.17468274699568542,
H3,2023/2024,amp4,amp1,0,7.629394531250002e-6,2.2888183593750005e-4,***
H3,2023/2024,amp4,amp2,30,0.39853990753437313,1,
H3,2023/2024,amp4,amp3,19.5,0.07393743585215212,1,
H3,2023/2024,amp4,amp5,2,0.002591493103918776,0.07774479311756329,
H3,2023/2024,amp4,amp6,12.5,0.04099886565732011,1,
H3,2023/2024,amp5,amp1,0,2.104120075915848e-4,0.006312360227747544,**
H3,2023/2024,amp5,amp2,74,0.006674355430721252,0.20023066292163755,
H3,2023/2024,amp5,amp3,88.5,0.0028723360456838275,0.08617008137051482,
H3,2023/2024,amp5,amp4,89,0.002591493103918776,0.07774479311756329,
H3,2023/2024,amp5,amp6,36,0.11691404394944466,1,
H3,2023/2024,amp6,amp1,0,2.1372191522501475e-4,0.0064116574567504424,**
H3,2023/2024,amp6,amp2,83.5,0.008549635705769562,0.2564890711730869,
H3,2023/2024,amp6,amp3,64.5,0.005822758233189514,0.17468274699568542,
H3,2023/2024,amp6,amp4,65.5,0.04099886565732011,1,
H3,2023/2024,amp6,amp5,9,0.11691404394944466,1,
M,2022/2023,amp1,amp2,23,4.952400635534909e-4,0.0029714403813209454,**
M,2022/2023,amp1,amp3,259,2.4326575802194659e-4,0.0014595945481316796,**
M,2022/2023,amp2,amp1,253,4.952400635534909e-4,0.0029714403813209454,**
M,2022/2023,amp2,amp3,300,1.938453580139085e-5,1.1630721480834511e-4,***
M,2022/2023,amp3,amp1,17,2.4326575802194659e-4,0.0014595945481316796,**
M,2022/2023,amp3,amp2,0,1.938453580139085e-5,1.1630721480834511e-4,***
M,2023/2024,amp1,amp2,39,0.04511787115128096,0.2707072269076857,
M,2023/2024,amp1,amp3,53,0.16735076904296878,1,
M,2023/2024,amp2,amp1,132,0.04511787115128096,0.2707072269076857,
M,2023/2024,amp2,amp3,142,0.012031555175781252,0.07218933105468751,
M,2023/2024,amp3,amp1,118,0.16735076904296878,1,
M,2023/2024,amp3,amp2,29,0.012031555175781252,0.07218933105468751,
N1,2022/2023,amp1,amp2,76,0.6946799932584728,1,
N1,2022/2023,amp1,amp3,107.5,0.794002680192762,1,
N1,2022/2023,amp1,amp4,236,0.002663754691833376,0.031965056302000514,*
N1,2022/2023,amp2,amp1,95,0.6946799932584728,1,
N1,2022/2023,amp2,amp3,112.5,0.9303080739564712,1,
N1,2022/2023,amp2,amp4,198,0.0041143879530742425,0.049372655436890914,*
N1,2022/2023,amp3,amp1,123.5,0.794002680192762,1,
N1,2022/2023,amp3,amp2,118.5,0.9303080739564712,1,
N1,2022/2023,amp3,amp4,87.5,0.32562735783479085,1,
N1,2022/2023,amp4,amp1,40,0.002663754691833376,0.031965056302000514,*
