Segment_Subtype,Season,val.Baselime_amp,val.amp,val.V,val.p_value,val.p_bonferroni,val.significance
N1,2022/2023,amp4,amp2,33,0.0041143879530742425,0.049372655436890914,*
N1,2022/2023,amp4,amp3,48.5,0.32562735783479085,1,
N1,2023/2024,amp1,amp2,59,0.25739160041429693,1,
N1,2023/2024,amp1,amp3,60,0.27620328978060316,1,
N1,2023/2024,amp1,amp4,133,0.007938965289937785,0.09526758347925342,
N1,2023/2024,amp2,amp1,112,0.25739160041429693,1,
N1,2023/2024,amp2,amp3,51.5,0.24600458368252517,1,
N1,2023/2024,amp2,amp4,153,3.198065653336669e-4,0.0038376787840040025,**
N1,2023/2024,amp3,amp1,111,0.27620328978060316,1,
N1,2023/2024,amp3,amp2,101.5,0.24600458368252517,1,
N1,2023/2024,amp3,amp4,107,0.0082526368993944485,0.09903164279273338,
N1,2023/2024,amp4,amp1,20,0.007938965289937785,0.09526758347925342,
N1,2023/2024,amp4,amp2,0,3.198065653336669e-4,0.0038376787840040025,**
N1,2023/2024,amp4,amp3,13,0.0082526368993944485,0.09903164279273338,
N2,2022/2023,amp1,amp2,6,0.03208873397823127,0.3850648077387752,
N2,2022/2023,amp1,amp3,5,0.005169460425263465,0.06203352510316158,
N2,2022/2023,amp1,amp4,0,0.005761162816017594,0.06913395379221113,
N2,2022/2023,amp2,amp1,49,0.03208873397823127,0.3850648077387752,
N2,2022/2023,amp2,amp3,40.5,0.4696806180808294,1,
N2,2022/2023,amp2,amp4,46,0.6067801959209344,1,
N2,2022/2023,amp3,amp1,86,0.005169460425263465,0.06203352510316158,
N2,2022/2023,amp3,amp2,64.5,0.4696806180808294,1,
N2,2022/2023,amp3,amp4,81,0.517696430532947,1,
N2,2022/2023,amp4,amp1,55,0.005761162816017594,0.06913395379221113,
N2,2022/2023,amp4,amp2,32,0.6067801959209344,1,
N2,2022/2023,amp4,amp3,55,0.517696430532947,1,
N2,2023/2024,amp1,amp2,0,0.059058229090536735,0.7086987490864408,
N2,2023/2024,amp1,amp3,18,0.10712440323677273,1,
N2,2023/2024,amp1,amp4,7,0.5282327768679832,1,
N2,2023/2024,amp2,amp1,15,0.059058229090536735,0.7086987490864408,
N2,2023/2024,amp2,amp3,33,0.6651679117759072,1,
N2,2023/2024,amp2,amp4,13,0.9321614961189602,1,
N2,2023/2024,amp3,amp1,60,0.10712440323677273,1,
N2,2023/2024,amp3,amp2,45,0.6651679117759072,1,
N2,2023/2024,amp3,amp4,52.5,0.30576630441940056,1,
N2,2023/2024,amp4,amp1,14,0.5282327768679832,1,
N2,2023/2024,amp4,amp2,15,0.9321614961189602,1,
N2,2023/2024,amp4,amp3,25.5,0.30576630441940056,1,
